doc_id,chunk_id,source,question
vol1_data_selection_data_selection,vol1_data_selection_data_selection_0122,vol1/data_selection/data_selection.qmd,What is the assumed size for a standard small random-read in the RandomAccessPenalty class?
vol1_data_selection_data_selection,vol1_data_selection_data_selection_0122,vol1/data_selection/data_selection.qmd,How is the HDD random throughput (hdd_random_q) calculated in the RandomAccessPenalty class?
vol1_backmatter_appendix_data,vol1_backmatter_appendix_data_0006,vol1/backmatter/appendix_data.qmd,What is the formula for the ideal line-rate transfer time?
vol1_backmatter_appendix_data,vol1_backmatter_appendix_data_0006,vol1/backmatter/appendix_data.qmd,"According to the passage, what factors increase the lower bounds provided by @Tbl-data-gravity?"
vol1_model_serving_model_serving,vol1_model_serving_model_serving_0099,vol1/model_serving/model_serving.qmd,What is the KV Cache used for in generative inference?
vol1_model_serving_model_serving,vol1_model_serving_model_serving_0099,vol1/model_serving/model_serving.qmd,How does memory usage differ between traditional models and LLMs according to the passage?
vol1_model_compression_model_compression,vol1_model_compression_model_compression_0009,vol1/model_compression/model_compression.qmd,What are the three techniques mentioned as part of model compression?
vol1_model_compression_model_compression,vol1_model_compression_model_compression_0009,vol1/model_compression/model_compression.qmd,What is the primary objective of model compression?
vol1_ml_systems_ml_systems,vol1_ml_systems_ml_systems_0062,vol1/ml_systems/ml_systems.qmd,What is the formula used to calculate vi_gpu_seconds_day?
vol1_ml_systems_ml_systems,vol1_ml_systems_ml_systems_0062,vol1/ml_systems/ml_systems.qmd,How is vi_peak_ratio computed according to the passage?
vol1_frontmatter__notation_body,vol1_frontmatter__notation_body_0010,vol1/frontmatter/_notation_body.qmd,What does the symbol $N_{\text{heads}}$ represent?
vol1_frontmatter__notation_body,vol1_frontmatter__notation_body_0010,vol1/frontmatter/_notation_body.qmd,Which symbol should be used for a layer index to avoid colliding with the symbols for loss and latency?
vol1_data_selection_data_selection,vol1_data_selection_data_selection_0049,vol1/data_selection/data_selection.qmd,How does dataset quality affect the magnitude of epoch reduction in curriculum learning according to the passage?
vol1_data_selection_data_selection,vol1_data_selection_data_selection_0049,vol1/data_selection/data_selection.qmd,What are the characteristics and preferred scenarios for anti‑curriculum (hard examples first) versus self‑paced learning as described in the passage?
vol2_network_fabrics_network_fabrics,vol2_network_fabrics_network_fabrics_0066,vol2/network_fabrics/network_fabrics.qmd,What performance range does `iperf` typically report for kernel-based TCP/IP due to CPU-managed buffer copies and context switches?
vol2_network_fabrics_network_fabrics,vol2_network_fabrics_network_fabrics_0066,vol2/network_fabrics/network_fabrics.qmd,Which suite of tools should be used for validation protocols to match the data path of RDMA workloads?
vol1_data_engineering_data_engineering,vol1_data_engineering_data_engineering_0122,vol1/data_engineering/data_engineering.qmd,What pattern do data lakes use that defers schema definitions until the point of reading?
vol1_data_engineering_data_engineering,vol1_data_engineering_data_engineering_0122,vol1/data_engineering/data_engineering.qmd,"According to the passage, when do data lakes earn their place?"
vol2_responsible_ai_responsible_ai,vol2_responsible_ai_responsible_ai_0056,vol2/responsible_ai/responsible_ai.qmd,What line width is set for the 'planet' style?
vol2_responsible_ai_responsible_ai,vol2_responsible_ai_responsible_ai_0056,vol2/responsible_ai/responsible_ai.qmd,Which TikZ style defines a picture of a bell?
vol2_collective_communication_collective_communication,vol2_collective_communication_collective_communication_0059,vol2/collective_communication/collective_communication.qmd,How is the total message size in bytes calculated for a gradient vector of dimension d_grad quantized to INT8 with block size b_block?
vol2_collective_communication_collective_communication,vol2_collective_communication_collective_communication_0059,vol2/collective_communication/collective_communication.qmd,What effective compression ratio is achieved when the block size b_block is 128?
vol1_backmatter_appendix_machine,vol1_backmatter_appendix_machine_0032,vol1/backmatter/appendix_machine.qmd,What are the four storage hierarchy components listed in the passage?
vol1_backmatter_appendix_machine,vol1_backmatter_appendix_machine_0032,vol1/backmatter/appendix_machine.qmd,"According to the BANDWIDTH-LATENCY SETUP comment, which three values are intended to be shown?"
vol1_backmatter_appendix_machine,vol1_backmatter_appendix_machine_0016,vol1/backmatter/appendix_machine.qmd,What function is used to format gustafson_8_speedup_mult_str with precision 2 and no commas?
vol1_backmatter_appendix_machine,vol1_backmatter_appendix_machine_0016,vol1/backmatter/appendix_machine.qmd,From which module is the function calc_transformer_training_flops imported?
vol1_data_engineering_data_engineering,vol1_data_engineering_data_engineering_0177,vol1/data_engineering/data_engineering.qmd,What metric is used to assess technical debt according to the passage?
vol1_data_engineering_data_engineering,vol1_data_engineering_data_engineering_0177,vol1/data_engineering/data_engineering.qmd,What does @Tbl-data-debt-metrics provide to make data debt trackable?
vol1_ml_systems_ml_systems,vol1_ml_systems_ml_systems_0025,vol1/ml_systems/ml_systems.qmd,What three components does the iron law sum to compute the total time T required for a workload?
vol1_ml_systems_ml_systems,vol1_ml_systems_ml_systems_0025,vol1/ml_systems/ml_systems.qmd,"According to the passage, what are two effects of increasing batch size on workload behavior?"
vol1_ml_workflow_ml_workflow,vol1_ml_workflow_ml_workflow_0000,vol1/ml_workflow/ml_workflow.qmd,What components are connected in the ML workflow loop described in the passage?
vol1_ml_workflow_ml_workflow,vol1_ml_workflow_ml_workflow_0000,vol1/ml_workflow/ml_workflow.qmd,What file formats are mentioned for the images of the ML workflow blueprint?
vol2_fleet_orchestration_fleet_orchestration,vol2_fleet_orchestration_fleet_orchestration_0023,vol2/fleet_orchestration/fleet_orchestration.qmd,What are the three approaches the scheduler can take when a node's heartbeat is missing?
